ev_id,model,target,sl,pl,mae,mse,mape,model_id,sl_pl
0,Transformer,available-energy-2,72,36,0.5433540940284729,0.30774667859077454,0.5547491908073425,1.0,72-36
0,Informer,available-energy-2,72,36,0.7102026343345642,0.5243169069290161,0.7240973114967346,2.0,72-36
0,FEDformer,available-energy-2,72,36,0.021585093811154366,0.0006887177587486804,0.026243433356285095,3.0,72-36
0,CNNLSTM,available-energy-2,72,36,0.70476895570755,0.9225176572799683,0.9604778289794922,4.0,72-36
0,TimeMixer,available-energy-2,72,36,0.0005716248415410519,1.037793936120579e-06,0.0010187217267230153,5.0,72-36
0,Transformer,available-energy-2,72,72,0.6755457520484924,0.47045832872390747,0.6858996748924255,1.0,72-72
0,Informer,available-energy-2,72,72,0.8492818474769592,0.7347903847694397,0.8571991324424744,2.0,72-72
0,FEDformer,available-energy-2,72,72,0.02576356567442417,0.0013475768500939012,0.03670935705304146,3.0,72-72
0,CNNLSTM,available-energy-2,72,72,0.7587299346923828,0.9325365424156189,0.9656792879104614,4.0,72-72
0,TimeMixer,available-energy-2,72,72,0.0012178090400993824,5.809480626339791e-06,0.0024102863389998674,5.0,72-72
0,Transformer,available-energy-2,168,84,0.7759298086166382,0.6213988661766052,0.7882885932922363,1.0,168-84
0,Informer,available-energy-2,168,84,0.9598496556282043,0.9269051551818848,0.9627591371536255,2.0,168-84
0,FEDformer,available-energy-2,168,84,0.06900090724229813,0.006023190915584564,0.07760921865701675,3.0,168-84
0,CNNLSTM,available-energy-2,168,84,0.7796564698219299,0.6124217510223389,0.7825738191604614,4.0,168-84
0,TimeMixer,available-energy-2,168,84,0.0018359496025368571,1.492876708653057e-05,0.00386377633549273,5.0,168-84
0,Transformer,available-energy-2,168,168,0.936716616153717,0.8982077836990356,0.9477382302284241,1.0,168-168
0,Informer,available-energy-2,168,168,0.9997234344482422,1.006306529045105,1.0031483173370361,2.0,168-168
0,FEDformer,available-energy-2,168,168,0.03180142119526863,0.00298332585953176,0.05461983010172844,3.0,168-168
0,CNNLSTM,available-energy-2,168,168,0.8673028349876404,0.7578297853469849,0.8705341815948486,4.0,168-168
0,TimeMixer,available-energy-2,168,168,0.004211646504700184,7.355356501648203e-05,0.00857633724808693,5.0,168-168
0,Transformer,available-energy-2,360,180,0.9876091480255127,0.9921740293502808,0.9960793256759644,1.0,360-180
0,Informer,available-energy-2,360,180,0.9644237756729126,0.9506111741065979,0.9749929308891296,2.0,360-180
0,FEDformer,available-energy-2,360,180,0.07353804260492325,0.009155739098787308,0.09568562358617783,3.0,360-180
0,CNNLSTM,available-energy-2,360,180,1.0256620645523071,1.0717417001724243,1.0352495908737183,4.0,360-180
0,TimeMixer,available-energy-2,360,180,0.006819600239396095,0.00020048310398124158,0.014159205369651318,5.0,360-180
0,Transformer,available-energy-2,360,360,1.20549476146698,1.4830726385116577,1.2178146839141846,1.0,360-360
