ev_id,model,target,sl,pl,mae,mse,mape,model_id,sl_pl
0,Transformer,soh-available-energy,72,36,0.6386503577232361,0.4205003082752228,0.6484599709510803,1.0,72-36
0,Informer,soh-available-energy,72,36,0.7400339245796204,0.5582880973815918,0.7471867799758911,2.0,72-36
0,FEDformer,soh-available-energy,72,36,0.021585093811154366,0.0006887177587486804,0.026243433356285095,3.0,72-36
0,CNNLSTM,soh-available-energy,72,36,0.881197452545166,0.9490281343460083,0.9741807579994202,4.0,72-36
0,TimeMixer,soh-available-energy,72,36,0.0004464858793653548,1.1349030728524667e-06,0.001065318239852786,5.0,72-36
0,Transformer,soh-available-energy,72,72,0.7781071662902832,0.6277338266372681,0.7922965288162231,1.0,72-72
0,Informer,soh-available-energy,72,72,0.9664546847343445,0.9389463663101196,0.9689924716949463,2.0,72-72
0,FEDformer,soh-available-energy,72,72,0.02576356567442417,0.0013475768500939012,0.03670935705304146,3.0,72-72
0,TimeMixer,soh-available-energy,72,72,0.0008239188464358449,4.988756700186059e-06,0.0022335525136440992,5.0,72-72
0,Transformer,soh-available-energy,168,84,0.7519086003303528,0.5892933011054993,0.7676544189453125,1.0,168-84
0,Informer,soh-available-energy,168,84,0.868398904800415,0.7710786461830139,0.8781108260154724,2.0,168-84
0,FEDformer,soh-available-energy,168,84,0.06900090724229813,0.006023190915584564,0.07760921865701675,3.0,168-84
0,CNNLSTM,soh-available-energy,168,84,0.9147073030471802,0.9344766736030579,0.9666833281517029,4.0,168-84
0,TimeMixer,soh-available-energy,168,84,0.0011468741577118635,7.569848548882874e-06,0.002751335734501481,5.0,168-84
0,Transformer,soh-available-energy,168,168,0.9058506488800049,0.8521896004676819,0.9231411814689636,1.0,168-168
0,Informer,soh-available-energy,168,168,0.9656732082366943,0.9533991813659668,0.976421594619751,2.0,168-168
0,FEDformer,soh-available-energy,168,168,0.03180142119526863,0.00298332585953176,0.05461983010172844,3.0,168-168
0,TimeMixer,soh-available-energy,168,168,0.0037291543558239937,5.8150333643425256e-05,0.0076256366446614265,5.0,168-168
0,Transformer,soh-available-energy,360,180,1.1379725933074951,1.3267227411270142,1.151834487915039,1.0,360-180
0,Informer,soh-available-energy,360,180,1.1011097431182861,1.2402116060256958,1.1136479377746582,2.0,360-180
0,FEDformer,soh-available-energy,360,180,0.07353804260492325,0.009155739098787308,0.09568562358617783,3.0,360-180
0,CNNLSTM,soh-available-energy,360,180,1.1572372913360596,1.3791213035583496,1.174359917640686,4.0,360-180
0,TimeMixer,soh-available-energy,360,180,0.005199093371629715,0.00013912342546973377,0.011795059777796268,5.0,360-180
0,Transformer,soh-available-energy,360,360,1.174212098121643,1.4025973081588745,1.1843130588531494,1.0,360-360
0,Informer,soh-available-energy,360,360,1.4204695224761963,2.072434663772583,1.439595341682434,2.0,360-360
0,FEDformer,soh-available-energy,360,360,0.09360942989587784,0.013826857320964336,0.11758765578269958,3.0,360-360
0,TimeMixer,soh-available-energy,360,360,0.019327577203512192,0.0019337758421897888,0.04397471994161606,5.0,360-360
0,Transformer,soh-available-energy,720,360,1.504117727279663,2.2938404083251953,1.5145429372787476,1.0,720-360
0,Informer,soh-available-energy,720,360,1.661996841430664,2.768239974975586,1.6638028621673584,2.0,720-360
0,FEDformer,soh-available-energy,720,360,0.21450813114643097,0.0575471930205822,0.2398899644613266,3.0,720-360
0,CNNLSTM,soh-available-energy,720,360,1.4813321828842163,2.2430784702301025,1.497691035270691,4.0,720-360
0,TimeMixer,soh-available-energy,720,360,0.09865418821573257,0.022882744669914246,0.15127043426036835,5.0,720-360
0,Transformer,soh-available-energy,720,720,1.5179541110992432,2.362912178039551,1.5371767282485962,1.0,720-720
0,Informer,soh-available-energy,720,720,1.9388021230697632,3.7729718685150146,1.9424139261245728,2.0,720-720
0,FEDformer,soh-available-energy,720,720,0.22040891647338867,0.06429149955511093,0.2535576820373535,3.0,720-720
0,TimeMixer,soh-available-energy,720,720,0.06785178929567337,0.012126130983233452,0.11011870950460434,5.0,720-720
1,Transformer,soh-available-energy,72,36,0.5124180912971497,0.28974437713623047,0.538279116153717,1.0,72-36
1,Informer,soh-available-energy,72,36,0.9312178492546082,0.9246211051940918,0.9615722298622131,2.0,72-36
1,FEDformer,soh-available-energy,72,36,0.018298646435141563,0.0005780432838946581,0.024042529985308647,3.0,72-36
1,CNNLSTM,soh-available-energy,72,36,1.1264910697937012,1.3591924905776978,1.1658440828323364,4.0,72-36
1,TimeMixer,soh-available-energy,72,36,0.00046463293256238103,6.288495342232636e-07,0.0007930003339424729,5.0,72-36
1,Transformer,soh-available-energy,72,72,0.576615035533905,0.3629477620124817,0.6024514436721802,1.0,72-72
1,Informer,soh-available-energy,72,72,0.9216954112052917,0.9063003659248352,0.9519981145858765,2.0,72-72
1,FEDformer,soh-available-energy,72,72,0.03037804551422596,0.0013812592951580882,0.03716529533267021,3.0,72-72
1,TimeMixer,soh-available-energy,72,72,0.0016527181724086404,8.389170034206472e-06,0.0028964064549654722,5.0,72-72
1,Transformer,soh-available-energy,168,84,0.4456145465373993,0.23061753809452057,0.4802265465259552,1.0,168-84
1,Informer,soh-available-energy,168,84,1.0183196067810059,1.1020758152008057,1.0497980117797852,2.0,168-84
1,FEDformer,soh-available-energy,168,84,0.048211462795734406,0.0036267268005758524,0.060222312808036804,3.0,168-84
1,CNNLSTM,soh-available-energy,168,84,1.0793980360031128,1.2512104511260986,1.1185752153396606,4.0,168-84
1,TimeMixer,soh-available-energy,168,84,0.003093220992013812,2.088082692353055e-05,0.0045695542357862,5.0,168-84
1,Transformer,soh-available-energy,168,168,0.8036945462226868,0.6904742121696472,0.830947756767273,1.0,168-168
1,Informer,soh-available-energy,168,168,1.007185697555542,1.073631763458252,1.03616201877594,2.0,168-168
1,FEDformer,soh-available-energy,168,168,0.06217626854777336,0.007231457158923149,0.08503797650337219,3.0,168-168
1,TimeMixer,soh-available-energy,168,168,0.0074662016704678535,0.00014549025218002498,0.012061933986842632,5.0,168-168
1,Transformer,soh-available-energy,360,180,0.8174343109130859,0.7216081619262695,0.8494752049446106,1.0,360-180
1,Informer,soh-available-energy,360,180,0.9914997220039368,1.034022569656372,1.0168689489364624,2.0,360-180
1,FEDformer,soh-available-energy,360,180,0.13249878585338593,0.02629631571471691,0.16216139495372772,3.0,360-180
1,CNNLSTM,soh-available-energy,360,180,1.0552875995635986,1.190321445465088,1.091018557548523,4.0,360-180
1,TimeMixer,soh-available-energy,360,180,0.012399081140756607,0.0003981429908890277,0.019953520968556404,5.0,360-180
1,Transformer,soh-available-energy,360,360,0.8569096326828003,0.7869988083839417,0.887129545211792,1.0,360-360
1,Informer,soh-available-energy,360,360,1.0059083700180054,1.0601367950439453,1.0296294689178467,2.0,360-360
1,FEDformer,soh-available-energy,360,360,0.13885024189949036,0.030210215598344803,0.17381085455417633,3.0,360-360
1,TimeMixer,soh-available-energy,360,360,0.025915440171957016,0.0017931598704308271,0.042345717549324036,5.0,360-360
1,Transformer,soh-available-energy,720,360,0.875005841255188,0.823696494102478,0.9075772762298584,1.0,720-360
1,Informer,soh-available-energy,720,360,1.0308144092559814,1.1168923377990723,1.0568312406539917,2.0,720-360
1,FEDformer,soh-available-energy,720,360,0.2044549584388733,0.059750258922576904,0.24443866312503815,3.0,720-360
1,CNNLSTM,soh-available-energy,720,360,1.033327579498291,1.1348025798797607,1.0652711391448975,4.0,720-360
1,TimeMixer,soh-available-energy,720,360,0.21358230710029602,0.1232326477766037,0.35104507207870483,5.0,720-360
1,Transformer,soh-available-energy,720,720,0.862472653388977,0.792605459690094,0.8902839422225952,1.0,720-720
1,Informer,soh-available-energy,720,720,1.0379767417907715,1.1289029121398926,1.0624984502792358,2.0,720-720
1,FEDformer,soh-available-energy,720,720,0.21168895065784454,0.058988895267248154,0.24287629127502441,3.0,720-720
1,TimeMixer,soh-available-energy,720,720,1.4625682830810547,4.540092945098877,2.130749464035034,5.0,720-720
2,Transformer,soh-available-energy,72,36,0.41565850377082825,0.2070184201002121,0.45499277114868164,1.0,72-36
2,Informer,soh-available-energy,72,36,0.4923039376735687,0.3185134828090668,0.5643699765205383,2.0,72-36
2,FEDformer,soh-available-energy,72,36,0.01645071990787983,0.00039210551767610013,0.019801653921604156,3.0,72-36
2,CNNLSTM,soh-available-energy,72,36,0.8556696772575378,0.8956872224807739,0.9464075565338135,4.0,72-36
2,TimeMixer,soh-available-energy,72,36,0.0007106449920684099,1.7943484635907225e-06,0.0013395329006016254,5.0,72-36
2,Transformer,soh-available-energy,72,72,0.5423237085342407,0.3278377056121826,0.5725711584091187,1.0,72-72
2,Informer,soh-available-energy,72,72,0.584481418132782,0.4377641975879669,0.6616374850273132,2.0,72-72
2,FEDformer,soh-available-energy,72,72,0.021753601729869843,0.0007207285962067544,0.0268463883548975,3.0,72-72
2,TimeMixer,soh-available-energy,72,72,0.002054680837318301,1.3259054867376108e-05,0.00364129850640893,5.0,72-72
2,Transformer,soh-available-energy,168,84,0.4970972537994385,0.2775558829307556,0.5268357396125793,1.0,168-84
2,Informer,soh-available-energy,168,84,0.6120539903640747,0.4628853499889374,0.6803568005561829,2.0,168-84
2,FEDformer,soh-available-energy,168,84,0.0378800705075264,0.0020940969698131084,0.04576130583882332,3.0,168-84
2,CNNLSTM,soh-available-energy,168,84,0.9423688650131226,0.999989926815033,0.9999949336051941,4.0,168-84
2,TimeMixer,soh-available-energy,168,84,0.0045731826685369015,5.408220022218302e-05,0.007354060187935829,5.0,168-84
2,Transformer,soh-available-energy,168,168,0.5170863270759583,0.2824491262435913,0.5314594507217407,1.0,168-168
2,Informer,soh-available-energy,168,168,0.6415771842002869,0.4906321167945862,0.7004513740539551,2.0,168-168
2,FEDformer,soh-available-energy,168,168,0.04516899213194847,0.0031376436818391085,0.05601467564702034,3.0,168-168
